A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,392.0,156,470
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,179.5,43,201
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,564.0,150,639
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,142.0,52,168
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,732.0,182,823
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,53.0,16,61
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,281.0,104,333
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,458.5,213,565
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,970.0,344,1142
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,99.0,24,111
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,322.5,187,416
