A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,160.0,26,173
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,902.5,191,998
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,61.5,13,68
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,5.5,5,8
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,317.5,117,376
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,289.5,191,385
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,167.5,17,176
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,150.0,36,168
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,731.0,242,852
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,815.0,264,947
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,97.0,18,106
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,110.0,10,115
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,885.5,249,1010
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,984.5,169,1069
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,54.0,4,56
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,61.5,1,62
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,107.5,25,120
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,177.5,17,186
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,293.0,34,310
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,266.5,51,292
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,433.5,65,466
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,324.5,87,368
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,703.0,118,762
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1495.5,199,1595
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1448.5,201,1549
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,838.0,146,911
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,281.0,26,294
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,58.5,15,66
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,160.5,35,178
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1503.0,306,1656
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,669.5,141,740
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,669.5,201,770
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,58.0,4,60
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1622.5,371,1808
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1487.5,453,1714
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,371.5,121,432
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,444.5,71,480
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,83.5,9,88
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1433.0,202,1534
