A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,107.0,18,116
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,99.5,19,109
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,161.5,29,176
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,1014.0,216,1122
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,931.5,267,1065
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,935.0,244,1057
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1396.5,413,1603
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1463.5,477,1702
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1579.5,353,1756
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,99.0,32,115
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,54.5,15,62
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,108.5,27,122
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,391.0,144,463
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,396.0,110,451
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,336.0,110,391
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,434.5,103,486
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,672.0,116,730
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,650.0,160,730
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,662.5,97,711
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,286.0,32,302
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,275.5,25,288
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,283.5,25,296
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,839.5,189,934
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,804.5,181,895
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,784.5,151,860
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,59.5,5,62
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,57.5,5,60
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,59.5,5,62
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,62.0,14,69
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,351.0,76,389
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,332.5,87,376
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,53.0,12,59
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,47.0,18,56
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,54.5,13,61
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,52.0,18,61
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,55.0,6,58
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1347.5,195,1445
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1330.5,245,1453
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1400.0,176,1488
