A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,224.0,48,248
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,213.5,51,239
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,221.5,49,246
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,789.0,264,921
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,786.5,257,915
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,742.0,294,889
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,56.0,8,60
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,54.0,16,62
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,56.0,12,62
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1070.0,422,1281
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1052.0,398,1251
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,1087.5,399,1287
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,104.0,32,120
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,585.5,207,689
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1212.0,386,1405
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,376.0,102,427
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,369.5,95,417
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,377.5,183,469
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,389.0,196,487
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,378.5,99,428
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,721.5,147,795
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,710.0,154,787
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,662.5,179,752
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,405.5,29,420
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,357.0,82,398
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,379.5,83,421
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,482.0,122,543
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,433.0,92,479
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,570.5,245,693
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,102.5,39,122
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,88.5,55,116
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,82.0,60,112
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,95.0,54,122
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,101.0,30,116
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,510.0,258,639
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,409.0,154,486
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,190.5,61,221
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,536.5,111,592
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,186.5,61,217
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,177.0,62,208
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1115.5,355,1293
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,1174.0,382,1365
