A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,42,42,58
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,46,46,58
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,40,40,59
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,458,458,819
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,466,466,798
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,434,434,790
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,784,784,1165
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,831,831,1169
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,123,123,221
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,123,123,216
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,147,147,284
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,875,875,1202
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,102,102,379
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,123,123,364
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,312,312,473
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,280,280,445
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,297,297,471
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,116,116,389
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,307,307,567
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,299,299,571
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,296,296,515
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,111,111,238
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,107,107,229
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,91,91,236
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,313,313,682
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,312,312,643
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,139,139,266
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,95,95,230
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,124,124,280
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,281,281,665
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,731,731,1143
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,659,659,1126
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,682,682,1167
