A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,41,41,177
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,35,35,160
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,447,447,1031
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,383,383,938
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,68,68,168
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,354,354,976
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,21,21,63
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,788,788,1494
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,784,784,1652
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,6,6,8
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,7,7,8
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,23,23,60
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,21,21,56
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,22,22,62
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,142,142,363
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,79,79,296
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,163,163,351
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,177,177,401
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,258,258,596
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,310,310,682
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,558,558,897
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,7,7,9
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,281,281,532
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,73,73,271
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,95,95,297
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,387,387,811
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,362,362,898
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,16,16,56
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,671,671,1310
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,199,199,448
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,183,183,395
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,311,311,547
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,249,249,435
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,30,30,104
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,44,44,114
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,643,643,1534
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,553,553,1332
