A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,56,56,225
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,319,319,901
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,66,66,186
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,58,58,182
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,32,32,60
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,185,185,591
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,201,201,611
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,83,83,204
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,99,99,211
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,313,313,907
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,387,387,928
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,35,35,60
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,34,34,62
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,43,43,118
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,42,42,118
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,42,42,62
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,33,33,60
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,133,133,347
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,87,87,330
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,199,199,481
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,188,188,402
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,243,243,600
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,409,409,1392
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,455,455,1368
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,188,188,591
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,74,74,337
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,226,226,419
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,77,77,162
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,49,49,129
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,550,550,1241
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,70,70,168
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,73,73,169
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,207,207,412
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,262,262,618
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,297,297,608
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,33,33,60
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,675,675,1308
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,601,601,1249
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,395,395,1350
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,178,178,439
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,204,204,489
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,70,70,189
