A1,A2,Lat1,Lon1,Lat2,Lon2,Points,BadFlights,TotalFlights
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,126,126,191
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,99,99,180
IAH,PDX,29.9844,-95.3414,45.5883,-122.5975,127,127,241
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,492,492,847
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,417,417,927
IAH,ORD,29.9844,-95.3414,41.9808,-87.9067,413,413,899
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,39,39,60
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,35,35,62
ABQ,PDX,35.0403,-106.6092,45.5883,-122.5975,45,45,62
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,675,675,1181
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,705,705,1251
LAX,ORD,33.9425,-118.4072,41.9808,-87.9067,660,660,1157
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,24,24,96
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,26,26,61
ABQ,ORD,35.0403,-106.6092,41.9808,-87.9067,47,47,124
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,208,208,408
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,211,211,416
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,157,157,333
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,462,462,642
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,410,410,637
IAH,LAX,29.9844,-95.3414,33.9425,-118.4072,415,415,633
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,150,150,361
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,133,133,354
ABQ,IAH,35.0403,-106.6092,29.9844,-95.3414,147,147,401
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,195,195,598
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,208,208,611
LAX,PDX,33.9425,-118.4072,45.5883,-122.5975,170,170,582
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,37,37,124
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,36,36,120
JFK,PDX,40.6397,-73.7789,45.5883,-122.5975,57,57,121
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,290,290,658
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,207,207,454
ORD,PDX,41.9808,-87.9067,45.5883,-122.5975,215,215,402
ABQ,LAX,35.0403,-106.6092,33.9425,-118.4072,186,186,408
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,233,233,637
JFK,ORD,40.6397,-73.7789,41.9808,-87.9067,213,213,634
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,87,87,214
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,95,95,213
IAH,JFK,29.9844,-95.3414,40.6397,-73.7789,104,104,216
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,590,590,1367
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,581,581,1386
JFK,LAX,40.6397,-73.7789,33.9425,-118.4072,576,576,1352
